,Energy,Magnetization,Specific Heat Capacity,Magnetic Susceptibility,Temperature
0,-3.731008,-0.9608704,1.9523299787755104,0.10150040137142857,1.75
1,-3.7309951999999997,-0.9614784,1.7659341470081025,0.07712723020382965,1.7512512512512513
2,-3.732672,-0.9619008,1.8100255502169698,0.07936048559211765,1.7525025025025025
3,-3.7145728000000005,-0.9586592,2.0555428466161754,0.09638001300821918,1.7537537537537538
4,-3.7367552,-0.9629631999999999,1.6707474110080656,0.07105447177892485,1.755005005005005
5,-3.7278464,-0.9603712,1.9679452516855707,0.09945717259526933,1.7562562562562563
6,-3.7257599999999997,-0.9603936,1.6144330829470968,0.07738548701443827,1.7575075075075075
7,-3.7180160000000004,-0.9592352000000001,1.8089340754142356,0.08483393464678433,1.7587587587587588
8,-3.7383936,-0.962432,1.667358091580046,0.07819010074790275,1.76001001001001
9,-3.7099264,-0.9572575999999999,2.507735273830558,0.1411408584675192,1.7612612612612613
10,-3.7236480000000003,-0.960672,1.9052967471745217,0.08311734467698426,1.7625125125125125
11,-3.7091839999999996,-0.957184,2.2843548947429206,0.13574461893303064,1.7637637637637638
12,-3.7161472,-0.9584864,2.5620732561679778,0.13107476844780944,1.765015015015015
13,-3.7158656000000003,-0.9594495999999999,1.7655476002791144,0.07922489664924907,1.7662662662662663
14,-3.7182336000000005,-0.9594432,1.8643971734203002,0.08834166114478267,1.7675175175175175
15,-3.7211648,-0.9600928,1.7847285786641867,0.08114176377045838,1.7687687687687688
16,-3.7117824,-0.9584672000000001,1.6937735537407268,0.07841378969172912,1.77002002002002
17,-3.7023232000000004,-0.9571456,1.9231391050030935,0.09171929395286803,1.7712712712712713
18,-3.7139072,-0.9588448,1.8108275700785696,0.0843513939598475,1.7725225225225225
19,-3.6848127999999996,-0.9531168,1.9830098352398924,0.108139874676298,1.7737737737737738
20,-3.7129983999999996,-0.9590496,2.067813622676089,0.09299444237281825,1.775025025025025
21,-3.701696,-0.9566752000000001,1.7377589540255338,0.08389498164801354,1.7762762762762763
22,-3.709888,-0.9582719999999999,1.7347558641010645,0.0805303759200338,1.7775275275275275
23,-3.713856,-0.958368,1.793360271577656,0.09341744009003938,1.7787787787787788
24,-3.6807807999999995,-0.9524896,2.658977497835595,0.1641162101040911,1.78003003003003
25,-3.6927103999999997,-0.9535680000000001,3.000550265877376,0.2076703796796853,1.7812812812812813
26,-3.6899072,-0.9539200000000001,2.1891713833115363,0.120450648771585,1.7825325325325325
27,-3.7023104,-0.9566592,1.713667618297888,0.0806198659878788,1.7837837837837838
28,-3.6899968,-0.95496,1.82972612989385,0.08465536924155335,1.785035035035035
29,-3.6981375999999995,-0.9560736000000001,1.6435351128003632,0.08304503905049034,1.7862862862862863
30,-3.6861568,-0.9541632,1.9876817887917326,0.101420501551953,1.7875375375375375
31,-3.675392,-0.9514623999999999,2.6691365387121126,0.15672289996284275,1.7887887887887888
32,-3.6826496,-0.9534816,2.0718175081395835,0.1035583753734657,1.79004004004004
33,-3.682368,-0.9525952,2.131238185380745,0.1245757106534786,1.7912912912912913
34,-3.6784767999999994,-0.9521567999999999,1.7733788020349164,0.09925780246622923,1.7925425425425425
35,-3.6819839999999995,-0.9537056,2.4802671870846615,0.12216667888928567,1.7937937937937938
36,-3.6865536,-0.954208,1.9766267507837554,0.09938790143036384,1.795045045045045
37,-3.6736512,-0.9511552,2.3037358141381232,0.14859483157113404,1.7962962962962963
38,-3.6909440000000004,-0.955408,1.8020896736274106,0.0853884283669776,1.7975475475475475
39,-3.6942208,-0.9564352,1.7197916002436293,0.07741701055893155,1.7987987987987988
40,-3.677504,-0.9527136,2.104865857906717,0.10392340723792576,1.80005005005005
41,-3.656832,-0.948944,2.36612309032073,0.12420878163934428,1.8013013013013013
42,-3.6835968,-0.9538816000000001,2.3573600021962537,0.11342584054510621,1.8025525525525525
43,-3.6859008,-0.9542784,1.832617048482895,0.09286351323063262,1.8038038038038038
44,-3.6632832000000004,-0.9502976000000001,2.5356988049353406,0.13019073614507137,1.805055055055055
45,-3.6617088000000004,-0.9501984,1.9016254744165424,0.09825144150822943,1.8063063063063063
46,-3.6452351999999997,-0.9466464,2.564692903584905,0.15013964742937838,1.8075575575575575
47,-3.6660224,-0.9501567999999999,2.29568342641547,0.12688916179656892,1.8088088088088088
48,-3.66656,-0.9510912,2.309574509307937,0.12026418703077561,1.81006006006006
49,-3.6752896,-0.9518592,2.384259616211538,0.12744822392395688,1.8113113113113113
50,-3.6703744,-0.9508928,1.8292864823884072,0.09453059504757698,1.8125625625625625
51,-3.6470656000000004,-0.9482048000000001,1.9282999123249682,0.09542908113377482,1.8138138138138138
52,-3.6582527999999996,-0.9490752,2.2751250733796766,0.12494398683821865,1.815065065065065
53,-3.6380928,-0.9460064,2.656775458489785,0.1399751640813447,1.8163163163163163
54,-3.6457728000000005,-0.9476416,2.3529691861139344,0.11744912387806691,1.8175675675675675
55,-3.6511104,-0.9477152,2.1633021013424494,0.13411457099306548,1.8188188188188188
56,-3.6631424,-0.9506015999999999,2.250639258069648,0.11764305227641962,1.82007007007007
57,-3.6621951999999998,-0.9504064,2.2908145943131832,0.1222004990522671,1.8213213213213213
58,-3.6463487999999997,-0.9454816,2.5440035798510316,0.19063912385643275,1.8225725725725725
59,-3.6449152000000002,-0.947664,2.5947123220965924,0.13751143982436886,1.8238238238238238
60,-3.6463104,-0.9476704,2.1104254796690523,0.1160172013150144,1.825075075075075
61,-3.6453375999999995,-0.9461727999999999,2.6439359521288694,0.1668502135721567,1.8263263263263263
